recorded at,gps at,latitude,longitude,altitude,quality
2020-04-25 00:02:17.587000+00:00,2020-04-25T00:02:19.000Z,37.916758833,-85.656528333,180.4,3
2020-04-25 00:17:17.788000+00:00,2020-04-25T00:17:19.000Z,37.916757333,-85.656472833,170.9,3
2020-04-25 00:32:18.215000+00:00,2020-04-25T00:32:19.000Z,37.916739666999995,-85.656476333,177.7,3
2020-04-25 00:47:18.572000+00:00,2020-04-25T00:47:20.000Z,37.916800167,-85.6565115,184.6,3
2020-04-25 01:02:18.667000+00:00,2020-04-25T01:02:20.000Z,37.916762,-85.656475833,181.6,3
2020-04-25 01:17:19.037000+00:00,2020-04-25T01:17:20.000Z,37.916739333,-85.656446,170.8,3
2020-04-25 01:32:19.441000+00:00,2020-04-25T01:32:20.000Z,37.916722333,-85.6564605,157.2,3
2020-04-25 01:47:19.545000+00:00,2020-04-25T01:47:21.000Z,37.916727167,-85.65654416699999,172.1,3
2020-04-25 02:02:19.648000+00:00,2020-04-25T02:02:21.000Z,37.916692833,-85.656448,173.0,3
2020-04-25 02:17:19.996000+00:00,2020-04-25T02:17:21.000Z,37.916778833,-85.65651700000001,181.5,3
2020-04-25 02:32:20.452000+00:00,2020-04-25T02:32:21.000Z,37.9167405,-85.6565095,166.7,3
2020-04-25 02:47:20.595000+00:00,2020-04-25T02:47:22.000Z,37.9166995,-85.656383833,182.2,3
2020-04-25 03:02:20.725000+00:00,2020-04-25T03:02:22.000Z,37.916737,-85.656409833,183.2,3
2020-04-25 03:17:21.303000+00:00,2020-04-25T03:17:22.000Z,37.916760667,-85.656469833,176.9,3
2020-04-25 03:41:04.507000+00:00,2020-04-25T03:41:04.000Z,37.9167485,-85.656517167,165.5,3
2020-04-25 03:56:05.127000+00:00,2020-04-25T03:56:04.000Z,37.916680667,-85.656443833,173.6,3
2020-04-25 04:11:05.185000+00:00,2020-04-25T04:11:05.000Z,37.916636833000005,-85.656498833,164.1,3
2020-04-25 04:26:05.386000+00:00,2020-04-25T04:26:05.000Z,37.916771833,-85.656519833,168.5,3
2020-04-25 04:41:05.784000+00:00,2020-04-25T04:41:05.000Z,37.916721667,-85.656366667,185.5,3
2020-04-25 04:56:06.203000+00:00,2020-04-25T04:56:06.000Z,37.916722166999996,-85.656468,167.8,3
2020-04-25 05:11:06.365000+00:00,2020-04-25T05:11:06.000Z,37.9167585,-85.656393333,181.4,3
2020-04-25 05:26:06.785000+00:00,2020-04-25T05:26:06.000Z,37.916655333,-85.656422667,166.1,3
2020-04-25 05:41:07.142000+00:00,2020-04-25T05:41:06.000Z,37.9167215,-85.656489667,181.2,3
2020-04-25 05:56:07.276000+00:00,2020-04-25T05:56:07.000Z,37.916702167,-85.65650516699999,173.5,3
2020-04-25 06:11:07.502000+00:00,2020-04-25T06:11:07.000Z,37.916777667,-85.6565475,176.3,3
2020-04-25 06:26:08.149000+00:00,2020-04-25T06:26:07.000Z,37.9167275,-85.65639449999999,179.2,3
2020-04-25 06:41:08.207000+00:00,2020-04-25T06:41:08.000Z,37.916776166999995,-85.656446,188.8,3
2020-04-25 06:56:08.412000+00:00,2020-04-25T06:56:08.000Z,37.916680333,-85.656404833,170.9,3
2020-04-25 07:11:08.839000+00:00,2020-04-25T07:11:08.000Z,37.916735833000004,-85.656486667,180.3,3
2020-04-25 07:26:09.202000+00:00,2020-04-25T07:26:08.000Z,37.916763833000005,-85.6564115,170.6,3
2020-04-25 07:41:09.282000+00:00,2020-04-25T07:41:09.000Z,37.916767,-85.656444,173.5,3
2020-04-25 07:56:09.500000+00:00,2020-04-25T07:56:09.000Z,37.91677,-85.656322167,184.0,3
2020-04-25 08:11:09.966000+00:00,2020-04-25T08:11:09.000Z,37.916712667,-85.656474,181.3,3
2020-04-25 08:26:10.227000+00:00,2020-04-25T08:26:10.000Z,37.916712,-85.656448333,178.6,3
2020-04-25 08:41:10.360000+00:00,2020-04-25T08:41:10.000Z,37.916753,-85.656498833,174.1,3
2020-04-25 08:56:10.749000+00:00,2020-04-25T08:56:10.000Z,37.916681167,-85.6564655,170.8,3
2020-04-25 09:11:11.168000+00:00,2020-04-25T09:11:11.000Z,37.916744833,-85.6564245,176.5,3
2020-04-25 09:26:11.331000+00:00,2020-04-25T09:26:11.000Z,37.916723167,-85.656475333,167.6,3
2020-04-25 09:41:11.515000+00:00,2020-04-25T09:41:11.000Z,37.916724,-85.65641683300001,183.2,3
2020-04-25 09:56:12.118000+00:00,2020-04-25T09:56:11.000Z,37.916754667,-85.656451,181.7,3
2020-04-25 10:11:12.190000+00:00,2020-04-25T10:11:12.000Z,37.916713,-85.656499333,173.7,3
2020-04-25 10:26:12.367000+00:00,2020-04-25T10:26:12.000Z,37.916771000000004,-85.656524667,184.5,3
2020-04-25 10:41:12.774000+00:00,2020-04-25T10:41:12.000Z,37.916684499999995,-85.656398667,182.5,3
2020-04-25 10:56:13.196000+00:00,2020-04-25T10:56:13.000Z,37.916727,-85.656573833,178.1,3
2020-04-25 11:11:13.297000+00:00,2020-04-25T11:11:13.000Z,37.916783333000005,-85.656433333,167.8,3
2020-04-25 11:26:13.660000+00:00,2020-04-25T11:26:13.000Z,37.916830833,-85.656475167,183.9,3
2020-04-25 11:41:14.064000+00:00,2020-04-25T11:41:13.000Z,37.916744333000004,-85.656346,179.9,3
2020-04-25 11:56:14.191000+00:00,2020-04-25T11:56:14.000Z,37.916738667,-85.65653866699999,176.5,3
2020-04-25 12:11:14.444000+00:00,2020-04-25T12:11:14.000Z,37.916775167,-85.6564355,181.4,3
2020-04-25 12:26:15.033000+00:00,2020-04-25T12:26:14.000Z,37.9167,-85.656393167,178.6,3
2020-04-25 12:41:15.113000+00:00,2020-04-25T12:41:14.000Z,37.916797833000004,-85.656549167,185.4,3
2020-04-25 12:56:15.238000+00:00,2020-04-25T12:56:15.000Z,37.916768667,-85.656382,174.6,3
2020-04-25 13:11:15.489000+00:00,2020-04-25T13:11:15.000Z,37.916688,-85.656448333,177.4,3
2020-04-25 13:26:16.086000+00:00,2020-04-25T13:26:15.000Z,37.916742833,-85.656504333,180.4,3
2020-04-25 13:41:16.146000+00:00,2020-04-25T13:41:16.000Z,37.916720833,-85.656558833,177.5,3
2020-04-25 13:56:16.347000+00:00,2020-04-25T13:56:16.000Z,37.916697333,-85.65644316699999,185.7,3
2020-04-25 14:11:16.773000+00:00,2020-04-25T14:11:16.000Z,37.916702833,-85.6565845,165.7,3
2020-04-25 14:26:17.104000+00:00,2020-04-25T14:26:16.000Z,37.916764833,-85.6564695,190.3,3
2020-04-25 14:41:17.181000+00:00,2020-04-25T14:41:17.000Z,37.916737333,-85.6565175,176.9,3
2020-04-25 14:56:17.451000+00:00,2020-04-25T14:56:17.000Z,37.916762333,-85.656562667,180.8,3
2020-04-25 15:11:18.009000+00:00,2020-04-25T15:11:17.000Z,37.916752333000005,-85.656550667,176.4,3
2020-04-25 15:26:18.159000+00:00,2020-04-25T15:26:18.000Z,37.916760333,-85.65644,189.0,3
2020-04-25 15:41:18.336000+00:00,2020-04-25T15:41:18.000Z,37.916780167,-85.656496333,177.1,3
2020-04-25 15:56:18.823000+00:00,2020-04-25T15:56:18.000Z,37.916699167,-85.6563625,178.2,3
2020-04-25 16:11:19.062000+00:00,2020-04-25T16:11:19.000Z,37.916631667,-85.6563465,180.2,3
2020-04-25 16:26:19.195000+00:00,2020-04-25T16:26:19.000Z,37.916645167,-85.656493333,171.2,3
