Time,RadioId,NodeId,NodeRSSI,Battery,Celsius
2020-04-25 00:00:54.454000+00:00,1,435,-86,4.157,29
2020-04-25 00:00:54.455000+00:00,3,435,-69,4.157,29
2020-04-25 00:06:58.739000+00:00,4,415,-95,4.157,19
2020-04-25 00:06:58.741000+00:00,3,415,-91,4.157,19
2020-04-25 00:10:54.415000+00:00,4,435,-83,4.157,28
2020-04-25 00:10:54.417000+00:00,1,435,-86,4.157,28
2020-04-25 00:10:54.418000+00:00,3,435,-69,4.157,28
2020-04-25 00:16:58.691000+00:00,3,415,-91,4.157,17
2020-04-25 00:16:58.692000+00:00,4,415,-95,4.157,17
2020-04-25 00:20:54.378000+00:00,4,435,-75,4.157,27
2020-04-25 00:20:54.379000+00:00,1,435,-86,4.157,27
2020-04-25 00:20:54.380000+00:00,3,435,-69,4.157,27
2020-04-25 00:26:58.641000+00:00,3,415,-91,4.157,17
2020-04-25 00:26:58.643000+00:00,4,415,-94,4.157,17
2020-04-25 00:30:54.340000+00:00,3,435,-69,4.157,26
2020-04-25 00:30:54.341000+00:00,4,435,-83,4.157,26
2020-04-25 00:36:58.594000+00:00,3,415,-91,4.157,15
2020-04-25 00:36:58.595000+00:00,4,415,-93,4.157,15
2020-04-25 00:40:54.302000+00:00,3,435,-69,4.157,25
2020-04-25 00:40:54.303000+00:00,1,435,-85,4.157,25
2020-04-25 00:40:54.304000+00:00,4,435,-82,4.157,25
2020-04-25 00:46:58.545000+00:00,3,415,-91,4.157,14
2020-04-25 00:50:54.265000+00:00,3,435,-69,4.157,25
2020-04-25 00:50:54.267000+00:00,4,435,-83,4.157,25
2020-04-25 00:56:58.498000+00:00,3,415,-91,4.141,14
2020-04-25 01:00:54.228000+00:00,4,435,-83,4.157,25
2020-04-25 01:00:54.229000+00:00,1,435,-86,4.157,25
2020-04-25 01:06:58.451000+00:00,4,415,-94,4.141,14
2020-04-25 01:06:58.453000+00:00,3,415,-91,4.141,14
2020-04-25 01:10:54.192000+00:00,3,435,-69,4.141,25
2020-04-25 01:10:54.193000+00:00,4,435,-83,4.141,25
2020-04-25 01:10:54.195000+00:00,1,435,-85,4.141,25
2020-04-25 01:16:58.406000+00:00,4,415,-81,4.141,13
2020-04-25 01:16:58.407000+00:00,3,415,-91,4.141,13
2020-04-25 01:20:54.155000+00:00,4,435,-84,4.141,24
2020-04-25 01:20:54.157000+00:00,3,435,-69,4.141,24
2020-04-25 01:20:54.158000+00:00,1,435,-85,4.141,24
2020-04-25 01:26:58.359000+00:00,4,415,-94,4.141,13
2020-04-25 01:26:58.360000+00:00,3,415,-91,4.141,13
2020-04-25 01:30:54.120000+00:00,3,435,-69,4.141,24
2020-04-25 01:30:54.121000+00:00,1,435,-84,4.141,24
2020-04-25 01:30:54.122000+00:00,4,435,-83,4.141,24
2020-04-25 01:36:58.312000+00:00,4,415,-94,4.141,13
2020-04-25 01:36:58.318000+00:00,3,415,-90,4.141,13
2020-04-25 01:40:54.084000+00:00,3,435,-69,4.141,24
2020-04-25 01:40:54.085000+00:00,1,435,-84,4.141,24
2020-04-25 01:40:54.087000+00:00,4,435,-83,4.141,24
2020-04-25 01:46:58.266000+00:00,4,415,-94,4.141,12
2020-04-25 01:46:58.268000+00:00,3,415,-91,4.141,12
2020-04-25 01:50:54.049000+00:00,4,435,-83,4.141,23
2020-04-25 01:50:54.050000+00:00,1,435,-85,4.141,23
2020-04-25 01:56:58.221000+00:00,4,415,-64,4.141,12
2020-04-25 01:56:58.222000+00:00,3,415,-91,4.141,12
2020-04-25 02:00:54.012000+00:00,3,435,-69,4.141,23
2020-04-25 02:00:54.013000+00:00,1,435,-85,4.141,23
2020-04-25 02:00:54.015000+00:00,4,435,-82,4.141,23
2020-04-25 02:06:58.175000+00:00,3,415,-91,4.141,12
2020-04-25 02:06:58.176000+00:00,4,415,-94,4.141,12
2020-04-25 02:10:53.977000+00:00,1,435,-85,4.141,23
2020-04-25 02:10:53.978000+00:00,3,435,-69,4.141,23
2020-04-25 02:10:53.979000+00:00,4,435,-83,4.141,23
2020-04-25 02:16:58.128000+00:00,4,415,-92,4.141,12
2020-04-25 02:16:58.130000+00:00,3,415,-91,4.141,12
2020-04-25 02:20:53.943000+00:00,3,435,-69,4.141,23
2020-04-25 02:20:53.944000+00:00,1,435,-85,4.141,23
2020-04-25 02:20:53.944000+00:00,4,435,-82,4.141,23
2020-04-25 02:30:53.908000+00:00,1,435,-85,4.141,22
